path,phase,required,owner,status,revision,sha256,consumes,evidence_ids,confidentiality,produced_by,verified_by,verification_id,verification_event_id,provenance_event_id,schema_id,schema_revision,semantic_type,na_policy_code,na_reason_code,verifier_registry_id,signing_key_id,updated_at,notes
00-governance/intake-original.md,INTAKE,true,root-integration-owner,DRAFT,1,b4e6442ac64366c6f04fa610276bd7870d02dda76b447b5435c128be778273bb,,INPUT-001,UNRESOLVED,single-input-kickoff,,,,,S4::00_governance_intake_original_md,1,intake_original,INTAKE_REQUIRED,,,,2026-08-29T04:40:29Z,File existence is not verification.
00-governance/intake.json,INTAKE,true,root-integration-owner,DRAFT,1,dc2ddb1024f077a09024a6a6b2f8a9174cb7671f53b3b516bee296a866ca8ce2,00-governance/intake-original.md,INPUT-001,UNRESOLVED,single-input-kickoff,,,,,S4::00_governance_intake_json,1,normalized_intake,INTAKE_REQUIRED,,,,2026-08-29T04:40:29Z,File existence is not verification.
00-governance/program-charter.md,INTAKE,true,root-integration-owner,DRAFT,2,801d4057b9badb49c0d92f7ce97c58671713a2c9aa4882b2251a47c37dc7f0b9,00-governance/intake.json,INPUT-001,UNRESOLVED,root-integration-owner,,,,PROV-d135b2f3b56e,S4::00_governance_program_charter_md,1,program_charter,CHARTER_REQUIRED,,,,2026-08-29T04:48:11Z,Current root-produced draft; not independently verified and does not close a scientific or human gate.
00-governance/decision-log.md,INTAKE,false,root-integration-owner,DRAFT,2,9db33756d52191b1e53662e29585a073ffef9db06e11c713ccba1a7af49c1950,00-governance/intake.json,INPUT-001,UNRESOLVED,root-integration-owner,,,,PROV-ebb7ff2f186f,S4::00_governance_decision_log_md,1,decision_log,CONTROL_LEDGER,,,,2026-08-29T04:48:11Z,Current root-produced draft; not independently verified and does not close a scientific or human gate.
00-governance/study-profile.json,INTAKE,true,root-integration-owner,DRAFT,2,65653add0ca0b90b4569d257a387897214be170a5c715efac00f7a4b1bd9f5da,00-governance/intake.json,INPUT-001,UNRESOLVED,root-integration-owner,,,,PROV-a85a03a7aa3b,S4::00_governance_study_profile_json,1,study_profile,PROFILE_REQUIRED_BEFORE_DESIGN,,,,2026-08-29T04:48:11Z,Current root-produced draft; not independently verified and does not close a scientific or human gate.
00-governance/egress-policy.json,INTAKE,false,root-integration-owner,DRAFT,2,9cb88089a9cac45e0aec5a8f1344e0dff946f3a887497b4b41f9b05b6296c709,00-governance/program-charter.md,INPUT-001,UNRESOLVED,root-integration-owner,,,,PROV-6093cd659693,S4::00_governance_egress_policy_json,1,egress_policy,DOCUMENTED_EXCEPTION,,,,2026-08-30T03:56:34Z,"User-authorized private GitHub egress to the authenticated zmzubraj account on 2026-08-30; private keys, credentials, raw E3 archives, and confidential evaluator records remain denied."
00-governance/capability-preflight.json,INTAKE,false,root-integration-owner,DRAFT,1,1ef2df2f41b5dc04d2527080279d97809e5bccfda8fa3004d11797e97f9b25f0,00-governance/program-charter.md,INPUT-001,UNRESOLVED,root-integration-owner,,,,PROV-11dcdb883c4d,S4::00_governance_capability_preflight_json,1,capability_preflight,DOCUMENTED_EXCEPTION,,,,2026-08-29T04:48:11Z,Current root-produced draft; not independently verified and does not close a scientific or human gate.
01-novelty/problem-investigation.md,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,1,5d6cc3c2defd42432acf4761606da57f5715f308e63af8af6a013919675681a7,00-governance/program-charter.md,"PA001,PA002,PA003,PA004,PA006,PA007,PA008,PA013,PA014",UNRESOLVED,root-integration-owner,,,,PROV-71742b86bb5d,S4::01_novelty_problem_investigation_md,1,01_novelty_problem_investigation_md_document,CANONICAL_ARTIFACT_POLICY,,,,2026-08-29T04:56:27Z,Primary draft only. Novelty remains unresolved; independent search challenge and scientific verification are pending.
01-novelty/novelty-claim-specification.md,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,1,0dfe967470e1b1b857e4c3487517cc60d318a4ece96bcb5236a8c3ce487ccee3,01-novelty/problem-investigation.md,"PA001,PA002,PA003,PA004,PA006,PA007,PA008,PA013,PA014",UNRESOLVED,root-integration-owner,,,,PROV-a451315474ac,S4::01_novelty_novelty_claim_specification_md,1,01_novelty_novelty_claim_specification_md_document,CANONICAL_ARTIFACT_POLICY,,,,2026-08-29T04:56:27Z,Primary draft only. Novelty remains unresolved; independent search challenge and scientific verification are pending.
01-novelty/search-protocol.md,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,1,1f81e4028edb8c8a8cf082ce3200cd6176efe79de616fc0c2d57ee47b837ec05,01-novelty/problem-investigation.md,"PA001,PA002,PA003,PA004,PA006,PA007,PA008,PA013,PA014",UNRESOLVED,root-integration-owner,,,,PROV-9c58c0f6907f,S4::01_novelty_search_protocol_md,1,01_novelty_search_protocol_md_document,CANONICAL_ARTIFACT_POLICY,,,,2026-08-29T04:56:27Z,Primary draft only. Novelty remains unresolved; independent search challenge and scientific verification are pending.
